ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,NIHAI_DEGERI,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,BATI,125.0,12,6,17,100,1,1,1.0,3,2,14750000.0,İSTANBUL_PENDİK_BATI,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,VELİBABA,107.0,2,9,8,100,1,1,1.0,3,2,3650000.0,İSTANBUL_PENDİK_VELİBABA,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,VELİBABA,107.0,1,9,8,100,1,1,1.0,3,2,3650000.0,İSTANBUL_PENDİK_VELİBABA,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,AHMET YESEVİ,80.0,1,5,10,85,1,1,1.0,2,1,2519030.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,FEVZİ ÇAKMAK,55.0,4,4,12,100,1,1,1.0,1,1,2900000.0,İSTANBUL_PENDİK_FEVZİ ÇAKMAK,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ÇINARDERE,100.0,4,6,8,100,1,1,1.0,3,2,5000000.0,İSTANBUL_PENDİK_ÇINARDERE,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ÇINARDERE,100.0,2,6,8,100,1,1,1.0,3,2,5000000.0,İSTANBUL_PENDİK_ÇINARDERE,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YENİŞEHİR,60.0,0,16,9,100,1,1,1.0,1,1,2800000.0,İSTANBUL_PENDİK_YENİŞEHİR,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,118.0,1,12,9,100,1,1,1.0,3,2,4850000.0,İSTANBUL_PENDİK_KURTKÖY,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YENİŞEHİR,79.0,3,6,13,100,0,1,1.0,2,1,3900000.0,İSTANBUL_PENDİK_YENİŞEHİR,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
